city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
Amsterdam,20,pm25,2025-07-08,20.32,10.55,7.45,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.4097527937690484,0.13677599441730637,0.21140939597315433,0,0,0
Amsterdam,20,pm25,2025-07-10,24.32,13.59,4.3,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.5452082627836099,0.18981158408932308,0.03523489932885905,0,0,0
Amsterdam,20,pm25,2025-07-12,20.42,9.99,9.83,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.4131391804944125,0.1270062805303559,0.34451901565995524,0,0,0
Amsterdam,21,pm25,2025-07-14,21.85,12.69,8.12,-1.0,-1.0,-1.0,2025,7,14,Monday,0,Good,0.4615645106671182,0.1741102581995813,0.24888143176733774,0,0,0
Amsterdam,20,pm25,2025-07-16,27.37,12.88,10.75,-1.0,-1.0,-1.0,2025,7,16,Wednesday,0,Good,0.6484930579072129,0.17742498255408237,0.39597315436241604,0,0,0
Amsterdam,21,pm25,2025-07-18,9.84,3.99,12.19,-1.0,-1.0,-1.0,2025,7,18,Friday,0,Good,0.054859464950897364,0.0223307745987439,0.4765100671140939,0,0,0
Paris,45,pm25,2025-05-30,19.2,8.4,8.74,-1.0,-1.0,-1.0,2025,5,30,Friday,0,Good,0.37182526244497116,0.09926727145847872,0.2835570469798657,0,0,0
Paris,47,pm25,2025-06-01,18.59,9.85,7.24,-1.0,-1.0,-1.0,2025,6,1,Sunday,0,Good,0.35116830342025057,0.12456385205861828,0.19966442953020133,0,0,0
Paris,45,pm25,2025-06-03,16.46,9.26,10.02,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Good,0.2790382661699966,0.11427076064200976,0.355145413870246,0,0,0
Paris,43,pm25,2025-06-05,17.77,9.92,13.97,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Good,0.32339993227226543,0.1257850662944871,0.576062639821029,0,0,0
Paris,43,pm25,2025-06-07,20.19,10.93,10.19,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Good,0.4053504910260752,0.14340544312630843,0.3646532438478746,0,0,0
Paris,46,pm25,2025-06-09,11.73,5.93,14.39,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Good,0.11886217406027767,0.0561758548499651,0.5995525727069351,0,0,0
London,62,pm25,2025-06-03,13.61,6.34,14.17,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Moderate,0.18252624449712151,0.06332868108862526,0.5872483221476509,0,0,0
London,58,pm25,2025-06-05,14.47,7.72,9.5,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Moderate,0.21164917033525227,0.08740404745289602,0.32606263982102907,0,0,0
